ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,gdp_china,gdp_china_lower,gdp_china_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,price,price_lower,price_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
1997-01-01,10920996.612970106,237292.40369874422,13203458.354353052,10920996.612970106,10920996.612970106,-0.38712680169642505,-0.38712680169642505,-0.38712680169642505,-0.42600127872698457,-0.42600127872698457,-0.42600127872698457,-0.38712680169642505,-0.38712680169642505,-0.38712680169642505,0.038874477030559525,0.038874477030559525,0.038874477030559525,0.0,0.0,0.0,6693186.122853498
1998-01-01,12560363.244466366,1871059.7256039379,16034147.683736099,12560363.244466366,12560363.244466366,-0.3197448040034249,-0.3197448040034249,-0.3197448040034249,-0.4106305095133533,-0.4106305095133533,-0.4106305095133533,-0.3197448040034249,-0.3197448040034249,-0.3197448040034249,0.09088570550992836,0.09088570550992836,0.09088570550992836,0.0,0.0,0.0,8544252.360652644
1999-01-01,14199729.875962628,3931927.8404231304,17427977.389532715,14199729.875962628,14199729.875962628,-0.25949107726483317,-0.25949107726483317,-0.25949107726483317,-0.3942732522140367,-0.3942732522140367,-0.3942732522140367,-0.25949107726483317,-0.25949107726483317,-0.25949107726483317,0.13478217494920353,0.13478217494920353,0.13478217494920353,0.0,0.0,0.0,10515026.67357945
2000-01-01,15839096.513165819,4905850.400734972,18604360.050672952,15839096.513165819,15839096.513165819,-0.2474240515501021,-0.2474240515501021,-0.2474240515501021,-0.3748261727404531,-0.3748261727404531,-0.3748261727404531,-0.2474240515501021,-0.2474240515501021,-0.2474240515501021,0.127402121190351,0.127402121190351,0.127402121190351,0.0,0.0,0.0,11920123.080985237
2001-01-01,17482954.565813404,7234745.590042711,20899657.156798564,17482954.565813404,17482954.565813404,-0.21359762394483753,-0.21359762394483753,-0.21359762394483753,-0.35397432776136617,-0.35397432776136617,-0.35397432776136617,-0.21359762394483753,-0.21359762394483753,-0.21359762394483753,0.14037670381652864,0.14037670381652864,0.14037670381652864,0.0,0.0,0.0,13748637.011020113
2002-01-01,19122321.19219623,8582368.563528614,21545043.773269866,19122321.19219623,19122321.19219623,-0.2073618675969364,-0.2073618675969364,-0.2073618675969364,-0.3294873111409249,-0.3294873111409249,-0.3294873111409249,-0.2073618675969364,-0.2073618675969364,-0.2073618675969364,0.1221254435439885,0.1221254435439885,0.1221254435439885,0.0,0.0,0.0,15157080.956993945
2003-01-01,20761687.818579063,9607250.299355445,23333036.105496924,20761687.818579063,20761687.818579063,-0.21822606599606453,-0.21822606599606453,-0.21822606599606453,-0.30012980000586836,-0.30012980000586836,-0.30012980000586836,-0.21822606599606453,-0.21822606599606453,-0.21822606599606453,0.08190373400980384,0.08190373400980384,0.08190373400980384,0.0,0.0,0.0,16230946.362492139
2004-01-01,22401054.434881963,9796411.43242269,24418185.610529687,22401054.434881963,22401054.434881963,-0.2247138287382053,-0.2247138287382053,-0.2247138287382053,-0.2671906725123345,-0.2671906725123345,-0.2671906725123345,-0.2247138287382053,-0.2247138287382053,-0.2247138287382053,0.04247684377412922,0.04247684377412922,0.04247684377412922,0.0,0.0,0.0,17367227.725046683
2005-01-01,24044912.466571998,14096824.048938932,27804819.307378616,24044912.466571998,24044912.466571998,-0.1356088170844123,-0.1356088170844123,-0.1356088170844123,-0.22662129301471165,-0.22662129301471165,-0.22662129301471165,-0.1356088170844123,-0.1356088170844123,-0.1356088170844123,0.09101247593029933,0.09101247593029933,0.09101247593029933,0.0,0.0,0.0,20784210.330081932
2006-01-01,25684279.08876111,16420035.08891354,30425697.964618683,25684279.08876111,25684279.08876111,-0.0800912603320785,-0.0800912603320785,-0.0800912603320785,-0.17627326957116146,-0.17627326957116146,-0.17627326957116146,-0.0800912603320785,-0.0800912603320785,-0.0800912603320785,0.09618200923908296,0.09618200923908296,0.09618200923908296,0.0,0.0,0.0,23627192.805821385
2007-01-01,27323645.710950222,17421043.601554506,30955563.316906895,27323645.710950222,27323645.710950222,-0.10682888574397095,-0.10682888574397095,-0.10682888574397095,-0.11238242070355325,-0.11238242070355325,-0.11238242070355325,-0.10682888574397095,-0.10682888574397095,-0.10682888574397095,0.005553534959582302,0.005553534959582302,0.005553534959582302,0.0,0.0,0.0,24404691.085186377
2008-01-01,28963012.333139338,17150793.223489687,30180293.218711216,28963012.333139338,28963012.333139338,-0.18037092543364702,-0.18037092543364702,-0.18037092543364702,-0.06284646053012224,-0.06284646053012224,-0.06284646053012224,-0.18037092543364702,-0.18037092543364702,-0.18037092543364702,-0.11752446490352478,-0.11752446490352478,-0.11752446490352478,0.0,0.0,0.0,23738926.995264865
2009-01-01,30606870.374005485,21720949.98600918,35196178.18750616,30606870.37400548,30606870.37400548,-0.060195201332481726,-0.060195201332481726,-0.060195201332481726,-0.010186160105755402,-0.010186160105755402,-0.010186160105755402,-0.060195201332481726,-0.060195201332481726,-0.060195201332481726,-0.05000904122672632,-0.05000904122672632,-0.05000904122672632,0.0,0.0,0.0,28764483.649685055
2010-01-01,32246236.99945943,25087040.093570914,39402386.063079074,32246236.99945943,32246236.99945943,-0.001038063164273663,-0.001038063164273663,-0.001038063164273663,0.054778723707134304,0.054778723707134304,0.054778723707134304,-0.001038063164273663,-0.001038063164273663,-0.001038063164273663,-0.05581678687140797,-0.05581678687140797,-0.05581678687140797,0.0,0.0,0.0,32212763.368643854
2011-01-01,33885603.629244864,25765151.268768087,39774650.248839125,33885603.629244864,33885603.629244864,-0.02675873608285001,-0.02675873608285001,-0.02675873608285001,0.1191736325960022,0.1191736325960022,0.1191736325960022,-0.02675873608285001,-0.02675873608285001,-0.02675873608285001,-0.1459323686788522,-0.1459323686788522,-0.1459323686788522,0.0,0.0,0.0,32978867.704721835
2012-01-01,35524970.2590303,28169787.918877847,41339944.56685653,35524970.2590303,35524970.2590303,-0.01668791444071152,-0.01668791444071152,-0.01668791444071152,0.17781028094791543,0.17781028094791543,0.17781028094791543,-0.01668791444071152,-0.01668791444071152,-0.01668791444071152,-0.19449819538862695,-0.19449819538862695,-0.19449819538862695,0.0,0.0,0.0,34932132.594838776
2013-01-01,37168828.29949479,32810711.181072596,46074571.87738147,37168828.29949479,37168828.29949479,0.06443664279667266,0.06443664279667266,0.06443664279667266,0.24027835181618762,0.24027835181618762,0.24027835181618762,0.06443664279667266,0.06443664279667266,0.06443664279667266,-0.17584170901951496,-0.17584170901951496,-0.17584170901951496,0.0,0.0,0.0,39563862.8118002
2014-01-01,38808194.92454818,39193233.62641516,53036280.08559184,38808194.92454818,38808194.92454818,0.1813573199400422,0.1813573199400422,0.1813573199400422,0.3033022283406503,0.3033022283406503,0.3033022283406503,0.1813573199400422,0.1813573199400422,0.1813573199400422,-0.12194490840060809,-0.12194490840060809,-0.12194490840060809,0.0,0.0,0.0,45846345.14777499
2015-01-01,40447561.55475839,47330232.25048632,60917553.98684141,40447561.55475839,40447561.55475839,0.3455173351071025,0.3455173351071025,0.3455173351071025,0.3672213892480675,0.3672213892480675,0.3672213892480675,0.3455173351071025,0.3455173351071025,0.3455173351071025,-0.02170405414096503,-0.02170405414096503,-0.02170405414096503,0.0,0.0,0.0,54422895.234739006
2016-01-01,42086928.184968606,52213708.129046775,65203104.94940845,42086928.184968606,42086928.184968606,0.3989253322419091,0.3989253322419091,0.3989253322419091,0.43456068844635565,0.43456068844635565,0.43456068844635565,0.3989253322419091,0.3989253322419091,0.3989253322419091,-0.03563535620444652,-0.03563535620444652,-0.03563535620444652,0.0,0.0,0.0,58876469.994198576
